Date,Values,Predicted Values,
Jan-11,178.0588,178.0588,
Feb-11,216.3819,216.3819,
Mar-11,231.653,231.653,
Apr-11,197.5518,197.5518,
May-11,209.374,209.374,
Jun-11,249.4132,249.4132,
Jul-11,268.8992,268.8992,
Aug-11,341.3059,341.3059,
Sep-11,360.7092,360.7092,
Oct-11,364.7145,364.7145,
Nov-11,324.2269,324.2269,
Dec-11,403.9881,403.9881,
Jan-12,336.7173,336.7173,
Feb-12,319.8355,319.8355,
Mar-12,402.8156,402.8156,
Apr-12,290.7548,290.7548,
May-12,395.2223,395.2223,
Jun-12,349.1299,349.1299,
Jul-12,391.2499,391.2499,
Aug-12,462.8816,462.8816,
Sep-12,512.3176,512.3176,
Oct-12,498.4324,498.4324,
Nov-12,660.809,660.809,
Dec-12,638.3337,638.3337,
Jan-13,605.4832,605.4832,
Feb-13,544.7992,544.7992,
Mar-13,518.1052,518.1052,
Apr-13,516.9923,516.9923,
May-13,657.1533,657.1533,
Jun-13,763.9797,763.9797,
Jul-13,977.0722,977.0722,
Aug-13,979.5363,979.5363,
Sep-13,970.9526,970.9526,
Oct-13,1182.104,1182.104,
Nov-13,1402.303,1402.303,
Dec-13,1273.5956,1273.5956,
Jan-14,1550.0836,1550.0836,
Feb-14,1364.6545,1364.6545,
Mar-14,940.9426,940.9426,
Apr-14,1015.4865,1015.4865,
May-14,1000.7918,1000.7918,
Jun-14,947.2654,947.2654,
Jul-14,1024.0753,1054.9947,3%
Aug-14,1018.5532,1036.2252,2%
Sep-14,1115.372,954.9166,14%
Oct-14,950.6395,1070.5405,13%
Nov-14,742.1115,1010.2032,36%
Dec-14,889.2271,971.1495,9%
